team	type_lesson	day_week	time_start	time_end	teacher
АТ-06	Лекция	Понедельник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-06	Практика	Понедельник	12:00	13:30	Степаненко_Андрей_Викторович
АТ-07	Лекция	Понедельник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-07	Практика	Вторник	8:30	10:00	Степаненко_Андрей_Викторович
АТ-08	Лекция	Понедельник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-08	Практика	Вторник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-09	Лекция	Понедельник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-09	Практика	Четверг	8:30	10:00	Степаненко_Андрей_Викторович
АТ-10	Лекция	Понедельник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-10	Практика	Четверг	10:15	11:45	Степаненко_Андрей_Викторович
АТ-32	Лекция	Вторник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-32	Практика	Четверг	14:15	15:45	Степаненко_Андрей_Викторович
АТ-34	Лекция	Вторник	10:15	11:45	Степаненко_Андрей_Викторович
АТ-34	Практика	Четверг	16:00	17:30	Степаненко_Андрей_Викторович
