team	type_lesson	day_week	time_start	time_end	teacher
АТ-01	Лекция	Четверг	8:30	10:00	Власова_Алиса_Михайловна
АТ-01	Практика	Четверг	10:15	11:45	Власова_Алиса_Михайловна
АТ-01	Практика	Суббота	10:15	11:45	Власова_Алиса_Михайловна
АТ-03	Лекция	Четверг	8:30	10:00	Власова_Алиса_Михайловна
АТ-03	Практика	Пятница	10:15	11:45	Власова_Алиса_Михайловна
АТ-03	Практика	Суббота	10:15	11:45	Власова_Алиса_Михайловна
АТ-04	Лекция	Четверг	8:30	10:00	Власова_Алиса_Михайловна
АТ-04	Практика	Пятница	12:00	13:30	Власова_Алиса_Михайловна
АТ-04	Практика	Суббота	12:00	13:30	Власова_Алиса_Михайловна
АТ-05	Лекция	Среда	8:30	10:00	Власова_Алиса_Михайловна
АТ-05	Практика	Среда	10:15	11:45	Власова_Алиса_Михайловна
АТ-05	Практика	Пятница	12:00	13:30	Власова_Алиса_Михайловна
